,index,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
612,3212,A3,2014,13950,Automatic,18258,Petrol,20,60.1,1.4,Audi
613,9589,Q3,2019,28250,Manual,1534,Petrol,145,40.9,1.5,Audi
614,9303,A4,2014,13790,Manual,57120,Diesel,30,61.4,2.0,Audi
615,8830,Q3,2017,19600,Manual,23994,Petrol,145,49.6,1.4,Audi
616,1839,Q2,2019,19250,Manual,804,Petrol,145,47.1,1.0,Audi
617,164,A3,2014,11600,Manual,43662,Diesel,20,67.3,2.0,Audi
618,6842,Q3,2013,13950,Semi-Auto,34925,Diesel,200,47.9,2.0,Audi
619,5785,A5,2019,32500,Automatic,1000,Petrol,145,37.7,2.0,Audi
620,10336,A5,2019,26000,Automatic,6100,Diesel,145,50.4,2.0,Audi
621,5440,Q3,2016,15441,Manual,40600,Diesel,125,56.5,2.0,Audi
622,7701,Q2,2019,22444,Manual,4000,Diesel,145,47.9,1.6,Audi
623,7193,A5,2017,24400,Semi-Auto,25105,Petrol,165,45.6,2.0,Audi
624,9871,RS3,2015,27995,Automatic,48798,Petrol,305,34.9,2.5,Audi
625,7437,A3,2009,4995,Semi-Auto,99200,Diesel,155,52.3,2.0,Audi
626,229,Q3,2019,34985,Automatic,10,Diesel,145,47.1,2.0,Audi
627,7385,Q2,2019,24450,Semi-Auto,12500,Petrol,145,40.9,1.5,Audi
628,8407,A3,2014,11499,Manual,31036,Diesel,20,67.3,2.0,Audi
629,2283,A3,2015,15995,Manual,18400,Diesel,20,68.9,2.0,Audi
630,3640,A4,2019,27991,Automatic,7600,Diesel,145,44.8,2.0,Audi
631,4062,A1,2019,23165,Semi-Auto,3733,Petrol,145,40.9,2.0,Audi
632,878,Q2,2020,33000,Semi-Auto,820,Petrol,145,32.5,2.0,Audi
633,1412,A1,2015,10198,Manual,36910,Petrol,0,67.3,1.0,Audi
634,6137,TT,2016,16970,Manual,37730,Petrol,150,47.1,1.8,Audi
635,9211,A4,2019,29990,Automatic,3955,Diesel,145,51.4,2.0,Audi
636,3890,A6,2017,25000,Semi-Auto,29585,Diesel,145,54.3,2.0,Audi
637,7659,Q3,2020,32444,Automatic,1500,Petrol,145,31.4,0.0,Audi
638,5117,A4,2019,27490,Automatic,100,Diesel,145,47.9,2.0,Audi
639,4609,Q5,2019,47000,Automatic,7200,Diesel,145,34.5,3.0,Audi
640,8964,A3,2016,12699,Automatic,23947,Diesel,30,64.2,2.0,Audi
641,10561,A4,2017,16700,Manual,14615,Petrol,145,52.3,1.4,Audi
642,650,Q2,2017,21495,Manual,11125,Petrol,125,50.4,1.4,Audi
643,5191,A4,2017,13490,Manual,35543,Petrol,145,53.3,1.4,Audi
644,4124,A4,2019,24500,Manual,5000,Petrol,145,40.4,2.0,Audi
645,7983,A1,2016,13999,Automatic,10104,Petrol,30,57.6,1.4,Audi
646,3719,A1,2020,24500,Semi-Auto,4000,Petrol,145,44.8,1.5,Audi
647,9674,Q3,2017,19999,Automatic,15003,Petrol,145,47.9,1.4,Audi
648,9159,A4,2018,23490,Automatic,11802,Diesel,145,65.7,2.0,Audi
649,3966,A1,2019,24490,Semi-Auto,550,Petrol,145,44.1,1.0,Audi
650,4182,A4,2017,20000,Semi-Auto,18756,Diesel,145,70.6,2.0,Audi
651,1033,A4,2019,35888,Automatic,5432,Petrol,145,36.2,2.0,Audi
652,36,A1,2017,10800,Manual,31447,Petrol,145,67.3,1.0,Audi
653,6168,A4,2019,23970,Automatic,5015,Diesel,145,50.4,2.0,Audi
654,1945,A5,2019,26990,Semi-Auto,11479,Petrol,145,39.8,2.0,Audi
655,6161,A4,2020,31470,Semi-Auto,4915,Petrol,150,40.9,2.0,Audi
656,10482,A1,2015,11995,Automatic,31000,Petrol,30,56.5,1.4,Audi
657,6888,A4,2019,43950,Semi-Auto,4293,Diesel,145,39.8,3.0,Audi
658,7991,A1,2015,12096,Manual,28974,Petrol,30,56.5,1.4,Audi
659,2626,A3,2016,14998,Manual,19795,Petrol,30,58.9,1.4,Audi
660,6269,Q5,2017,25495,Semi-Auto,33916,Petrol,150,40.9,2.0,Audi
661,6568,A3,2017,25650,Automatic,14883,Petrol,145,43.5,2.0,Audi
662,10394,A4,2014,12490,Manual,58200,Diesel,30,62.8,2.0,Audi
663,4113,Q5,2019,34990,Automatic,6000,Diesel,145,38.2,2.0,Audi
664,5927,A3,2016,16947,Automatic,11861,Petrol,30,57.6,1.4,Audi
665,2723,A1,2016,15052,Semi-Auto,26041,Petrol,30,56.5,1.4,Audi
666,4190,A1,2016,17000,Semi-Auto,7000,Petrol,30,70.6,1.4,Audi
667,1032,A4,2019,27444,Automatic,5432,Diesel,145,47.1,2.0,Audi
668,8729,Q3,2019,25300,Semi-Auto,9134,Diesel,145,48.7,2.0,Audi
669,5310,Q3,2019,26990,Manual,1213,Diesel,145,42.8,2.0,Audi
670,2300,Q3,2017,15860,Semi-Auto,44080,Petrol,145,47.9,1.4,Audi
671,7752,A3,2016,18990,Automatic,29047,Diesel,125,57.6,2.0,Audi
672,5074,A3,2016,20990,Semi-Auto,29012,Petrol,30,55.4,1.4,Audi
673,7835,A5,2015,16700,Automatic,45104,Diesel,125,58.9,0.0,Audi
674,354,Q7,2015,34995,Semi-Auto,21245,Diesel,205,47.9,3.0,Audi
675,2610,A1,2016,10970,Manual,26442,Petrol,30,57.6,1.4,Audi
676,8074,Q5,2016,19899,Automatic,46113,Diesel,200,47.1,2.0,Audi
677,5512,Q8,2020,58000,Semi-Auto,2000,Diesel,145,33.6,3.0,Audi
678,7564,A4,2012,9399,Manual,77500,Diesel,205,46.3,2.0,Audi
679,5070,A6,2016,19990,Semi-Auto,27915,Diesel,30,61.4,3.0,Audi
680,9036,A3,2015,8499,Manual,56104,Diesel,0,74.3,1.6,Audi
681,1199,Q7,2016,29498,Semi-Auto,36816,Diesel,160,48.7,3.0,Audi
682,8346,A4,2016,15999,Automatic,46616,Diesel,30,67.3,2.0,Audi
683,5701,Q3,2017,19995,Manual,32565,Petrol,150,49.6,1.4,Audi
684,10572,TT,2017,21500,Automatic,22994,Petrol,165,43.5,2.0,Audi
685,5613,A4,2019,22450,Manual,16500,Petrol,145,38.7,2.0,Audi
686,7657,Q5,2020,37444,Automatic,3000,Petrol,145,32.1,2.0,Audi
687,4202,A6,2019,30000,Automatic,5000,Diesel,145,50.4,2.0,Audi
688,8391,A1,2016,12760,Manual,28369,Petrol,30,55.4,1.4,Audi
689,7977,A6,2019,25990,Automatic,18000,Diesel,145,47.9,2.0,Audi
690,3069,A3,2018,16991,Semi-Auto,60892,Petrol,145,56.5,1.5,Audi
691,6407,A1,2014,10490,Semi-Auto,18753,Petrol,20,60.1,1.4,Audi
692,5815,A3,2016,13490,Manual,21114,Petrol,20,60.1,1.0,Audi
693,744,A1,2017,11495,Manual,24857,Diesel,0,76.3,1.6,Audi
694,2154,A1,2014,7951,Manual,53291,Diesel,0,74.3,1.6,Audi
695,3271,A4,2017,16745,Manual,36008,Diesel,150,67.3,2.0,Audi
696,10305,Q3,2017,17500,Automatic,31616,Petrol,150,47.9,1.4,Audi
697,9192,Q3,2017,21290,Automatic,26653,Diesel,145,53.3,2.0,Audi
698,4790,Q5,2020,52990,Semi-Auto,6000,Diesel,145,34.5,3.0,Audi
699,2546,A1,2015,11495,Manual,47162,Petrol,30,55.4,1.4,Audi
700,2532,A5,2018,20310,Semi-Auto,14863,Petrol,145,53.3,1.4,Audi
701,6349,Q5,2019,35295,Semi-Auto,3249,Petrol,145,32.1,2.0,Audi
702,10542,Q5,2019,38500,Automatic,126,Petrol,150,32.1,2.0,Audi
703,3769,Q2,2020,27500,Semi-Auto,4500,Petrol,145,42.2,1.5,Audi
704,10558,Q3,2017,18500,Manual,30955,Diesel,145,56.5,2.0,Audi
705,8717,A3,2018,14500,Semi-Auto,22496,Diesel,145,72.4,1.6,Audi
706,9003,A1,2015,10599,Manual,36477,Petrol,0,67.3,1.0,Audi
707,10095,Q7,2018,52495,Automatic,24439,Diesel,145,39.2,4.0,Audi
708,8535,A1,2016,8500,Manual,75869,Diesel,0,80.7,1.6,Audi
709,3908,Q2,2017,19990,Automatic,16991,Diesel,145,57.7,2.0,Audi
710,10256,A4,2018,17600,Semi-Auto,63876,Diesel,150,65.7,2.0,Audi
711,5244,A5,2019,27995,Automatic,5000,Petrol,145,40.4,2.0,Audi
712,1147,Q3,2020,33881,Semi-Auto,4432,Petrol,145,31.4,2.0,Audi
713,7961,A6,2016,14490,Automatic,68000,Diesel,20,64.2,2.0,Audi
714,2854,A3,2015,12495,Manual,20258,Diesel,0,83.1,1.6,Audi
